Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,451000,77000,8,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,486000,76121,7,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,454000,67354,8,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,485000,75059,7,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,537000,72942,6,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,526000,54013,7,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,484000,62000,8,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,484000,62000,8,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,582000,26000,6,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,581000,26449,6,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,533000,38000,7,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,565000,60205,6,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,623000,38000,5,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,459000,37000,9,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,583000,24000,6,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,469000,100000,8,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,529000,46500,7,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,588000,13000,6,Bangalore
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,473000,16000,8,Chennai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,498000,30000,7,Chennai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,500000,30000,7,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,562000,75828,5,Chennai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,539000,50000,6,Chennai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,496000,33557,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,485000,60204,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,569000,52470,6,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,478000,76350,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,620000,43285,5,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,455000,47000,9,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,574000,41000,6,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,621000,41726,5,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,496000,32761,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,617000,48887,5,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,518000,71939,7,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,562000,10928,6,Ghaziabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,450000,71298,8,Gurgaon
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,469000,16704,8,Ghaziabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,442000,90000,8,Ghaziabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,460000,33752,9,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,491000,44956,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,541000,20650,7,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,525000,55000,7,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,461000,119000,8,Delhi
