,Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
1452,Maruti Suzuki,Swift,Lxi ABS [2014-2017][2014-2018],Manual,Petrol,295000.0,42401,7,Delhi
1453,Maruti Suzuki,Swift,Lxi ABS [2014-2017][2014-2018],Manual,Petrol,442000.0,55602,7,Delhi
1454,Maruti Suzuki,Swift,Lxi ABS [2014-2017][2014-2018],Manual,Petrol,442000.0,47657,7,Delhi
1455,Maruti Suzuki,Swift,Lxi ABS [2014-2017][2014-2018],Manual,Petrol,442000.0,42401,7,Delhi
1456,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,766000.0,27000,4,Bangalore
1457,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,547000.0,87551,6,Gurgaon
1458,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,518000.0,44096,7,Ghaziabad
1459,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,584000.0,27000,6,Kolkata
1460,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,754000.0,42385,4,Mumbai
1461,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,562000.0,73948,7,Ahmedabad
1462,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,563000.0,27300,7,Kolkata
1463,Maruti Suzuki,Ciaz,S 1.4 MT[2017-2018],Manual,Petrol,823000.0,42385,4,Mumbai
1464,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,567000.0,52100,3,Delhi
1465,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,539000.0,17000,4,Delhi
1466,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,480000.0,74000,4,Hyderabad
1467,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,548000.0,13000,3,Kolkata
1468,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,446000.0,50000,6,Mumbai
1469,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,502000.0,15000,4,Pune
1470,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,590000.0,8500,5,Kolkata
1471,Maruti Suzuki,Baleno,Sigma,Manual,Petrol,554000.0,50000,6,Pune
1472,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,337000.0,83971,6,Ahmedabad
1473,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,324000.0,51705,7,Ahmedabad
1474,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,457000.0,55000,3,Mohali
1475,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,431000.0,11000,5,Delhi
1476,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,431000.0,12500,5,Delhi
1477,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,470000.0,15560,4,Mumbai
1478,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,435000.0,15560,4,Thane
1479,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,478000.0,13348,3,Pune
1480,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,571000.0,5100,1,Pune
1481,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,316000.0,51758,7,Ahmedabad
1482,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,469000.0,18000,3,Kolkata
1483,Maruti Suzuki,Ignis,Sigma 1.2 MT,Manual,Petrol,350000.0,57747,6,Pune
1484,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,345000.0,75000,8,Ahmedabad
1485,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,380000.0,60510,8,Bangalore
1486,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,406000.0,96256,6,Chennai
1487,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,391000.0,38645,7,Chennai
1488,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,357000.0,49063,8,Chennai
1489,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,327000.0,110568,9,Delhi
1490,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,329000.0,104852,9,Delhi
1491,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,350000.0,49000,9,Delhi
1492,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,364000.0,100000,8,Delhi
1493,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,383000.0,52000,8,Mumbai
1494,Maruti Suzuki,S-Cross,Sigma 1.3[2014-2017],Manual,Diesel,436000.0,52000,8,Mumbai
1495,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,424000.0,51000,7,Ahmedabad
1496,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,462000.0,58452,7,Bangalore
1497,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,519000.0,35000,6,Delhi
1498,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,518000.0,36000,6,Delhi
